id_subsls,kd_prov,kd_kab,kd_kec,kd_desa,kd_sls,nama_prov,nama_kab,nama_kec,nama_desa,nama_sls,kd_pos
7103090008000500,71,03,090,008,0005,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,APENG SEMBEKA,RT 05 LINGKUNGAN 3,95811
7103100013000100,71,03,100,013,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BAHU,LINDONGAN 01,95856
7103090008000200,71,03,090,008,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,APENG SEMBEKA,RT 02 LINGKUNGAN 1,95811
7103092006000100,71,03,092,006,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA BARAT,BEHA BARU,RT 01 LINGKUNGAN I,95815
7103100013000400,71,03,100,013,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BAHU,LINDONGAN 04,95856
7103060017000300,71,03,060,017,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN,BUKIDE,LINDONGAN 3,95858
7103050009000200,71,03,050,009,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TAMAKO,BALANE,LINDONGAN 02,95855
7103100013000300,71,03,100,013,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BAHU,LINDONGAN 03,95856
7103070004000300,71,03,070,004,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN TENGAH,BIRA,LINDONGAN 03,95857
7103100013000200,71,03,100,013,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BAHU,LINDONGAN 02,95856
7103070004000200,71,03,070,004,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN TENGAH,BIRA,LINDONGAN 02,95857
7103090008000100,71,03,090,008,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,APENG SEMBEKA,RT 01 LINGKUNGAN 1,95811
